name,price,engineSize,year,mileage,fuelType,ratio
Nissan Leaf,148022,400,2018 ,2 km,Elektryczny,370055
Renault Zoe,116900,400,2018 ,1 000 km,Elektryczny,292250
McLaren,1092000,3800 ,2018 ,2 km,Benzyna,287368.4210526316
Porsche 911 991,802965,2981 ,2019 ,10 km,Benzyna,269360.9527004361
Mercedes-Benz Klasa S W222,559900,2925 ,2019 ,1 km,Diesel,191418.8034188034
BMW X5 G05,555900,2993 ,2019 ,10 km,Diesel,185733.377881724
Audi A8 D5,554689,3000 ,2019 ,500 km,Diesel,184896.33333333334
Mercedes-Benz Klasa S W222,699000,4000 ,2019 ,1 km,Benzyna,174750
Mercedes-Benz Klasa S W222,499900,2925 ,2018 ,1 km,Diesel,170905.9829059829
Porsche Macan,337232,1984 ,2018 ,5 km,Benzyna,169975.8064516129
BMW X5 M,504500,2993 ,2018 ,4 100 km,Diesel,168559.9732709656
Audi A8 D5,489000,3000 ,2018 ,1 km,Diesel,163000
Fiat 500,64900,400,2017 ,8 800 km,Elektryczny,162250
Audi A6 C8,322918,2000 ,2019 ,1 km,Benzyna,161459
Audi Q8,472900,2967 ,2018 ,5 000 km,Diesel,159386.58577687902
Audi Q8,472500,2967 ,2018 ,5 km,Diesel,159251.76946410516
Audi Q8,472500,2967 ,2018 ,5 km,Diesel,159251.76946410516
Audi Q8,469058,2967 ,2018 ,5 km,Diesel,158091.67509268623
Audi Q8,473990,3000 ,2018 ,10 km,Diesel,157996.66666666666
Porsche Macan,312675,1984 ,2018 ,1 km,Benzyna,157598.2862903226
Mercedes-Benz Klasa S W222,464000,2996 ,2018 ,1 km,Benzyna,154873.1642189586
Mercedes-Benz Klasa S W222,464000,2996 ,2018 ,1 km,Benzyna,154873.1642189586
Mercedes-Benz Klasa C W205,229900,1497 ,2019 ,5 km,Benzyna,153573.81429525718
Audi Q8,454500,2967 ,2018 ,5 km,Diesel,153185.0353892821
Audi Q8,449000,2967 ,2018 ,1 km,Diesel,151331.3110886417
Audi A6 C8,444900,2967 ,2018 ,5 000 km,Diesel,149949.4438827098
Audi Q8,447728,3000 ,2018 ,1 km,Diesel,149242.6666666667
Mercedes-Benz Klasa E W213,445900,2996 ,2019 ,1 km,Benzyna,148831.77570093458
Mercedes-Benz Klasa E W213,289900,1950 ,2019 ,1 km,Diesel,148666.66666666666
Mercedes-Benz GLE W166,444900,2996 ,2019 ,1 km,Benzyna,148497.99732977303
BMW Seria 4,293000,1998 ,2019 ,5 km,Benzyna,146646.64664664664
Audi A6 C8,286500,1968 ,2018 ,5 km,Diesel,145579.26829268294
Audi A8 D5,429900,2967 ,2017 ,9 119 km,Diesel,144893.8321536906
Audi Q8,429910,3000 ,2018 ,1 km,Diesel,143303.33333333334
Audi A6 C8,286600,2000 ,2018 ,5 km,Diesel,143300
Audi A6 C8,428900,3000 ,2018 ,5 km,Diesel,142966.66666666666
Audi Q8,423900,2967 ,2018 ,5 km,Diesel,142871.5874620829
Audi Q7 II,418900,2967 ,2018 ,5 km,Diesel,141186.38355240982
Mercedes-Benz Klasa S W222,561000,3982 ,2018 ,1 km,Benzyna,140883.97790055248
Audi A6 C8,277000,1968 ,2018 ,1 km,Diesel,140752.0325203252
Audi A6 C8,281500,2000 ,2018 ,5 km,Diesel,140750
BMW Z4 G29,280332,2000 ,2019 ,5 km,Benzyna,140166
Audi A1,139900,999,2018 ,3 655 km,Benzyna,140040.04004004007
BMW M4,419900,3000 ,2018 ,4 053 km,Benzyna,139966.66666666666
Audi A6 C8,279500,2000 ,2018 ,5 km,Diesel,139750
Mercedes-Benz GLC,553536,3982 ,2019 ,1 km,Benzyna,139009.54294324463
Mercedes-Benz Klasa S W222,405691,2925 ,2017 ,11 000 km,Diesel,138697.77777777778
Audi A6 C8,272900,1968 ,2018 ,5 km,Diesel,138668.69918699187
BMW X6 F16,411800,2995 ,2019 ,5 km,Diesel,137495.82637729548
Audi A5 F5,274463,2000 ,2019 ,1 km,Diesel,137231.5
Volkswagen Multivan,269900,1968 ,2019 ,5 km,Diesel,137144.30894308945
Porsche 911 991,406000,2981 ,2016 ,29 000 km,Benzyna,136195.90741361957
Audi Q8,408551,3000 ,2018 ,1 km,Diesel,136183.66666666666
Audi A6 C8,267900,1968 ,2018 ,5 km,Diesel,136128.0487804878
Audi A6 C8,403345,2967 ,2019 ,5 km,Diesel,135943.7141894169
Audi Q7 II,402900,2967 ,2018 ,5 km,Diesel,135793.73104145602
Mercedes-Benz GLE W166,405000,2987 ,2019 ,5 km,Diesel,135587.54603280884
Mercedes-Benz GLC,404533,2996 ,2019 ,1 km,Benzyna,135024.36582109478
Audi A6 C8,269534,2000 ,2018 ,1 km,Diesel,134767
Audi A6 C8,268400,2000 ,2018 ,5 km,Diesel,134200
Audi Q5 FY,267716,2000 ,2018 ,1 km,Diesel,133858
Audi A6 C8,263417,1968 ,2018 ,5 km,Diesel,133850.10162601626
Audi A6 C8,262197,1968 ,2018 ,5 km,Diesel,133230.18292682926
Audi Q7 II,397900,3000 ,2019 ,1 km,Diesel,132633.3333333333
Audi A5 F5,260900,1968 ,2019 ,5 000 km,Diesel,132571.13821138212
Audi Q5 FY,260500,1968 ,2018 ,5 km,Diesel,132367.8861788618
Audi A6 C8,259900,1968 ,2018 ,5 km,Diesel,132063.0081300813
Audi Q7 II,390500,2967 ,2018 ,5 km,Diesel,131614.4253454668
Audi Q5 FY,262900,2000 ,2018 ,1 km,Diesel,131450
Audi Q3,196900,1498 ,2019 ,5 000 km,Benzyna,131441.9225634179
Audi A6 C8,262700,2000 ,2018 ,5 km,Diesel,131350
Audi A6 C8,262316,2000 ,2019 ,1 km,Diesel,131158
Audi A1,129900,999,2018 ,5 km,Benzyna,130030.03003003002
Audi Q3,194502,1498 ,2018 ,5 km,Benzyna,129841.12149532711
Alfa Romeo Stelvio,375837,2900 ,2018 ,1 km,Benzyna,129598.96551724136
Mercedes-Benz Klasa B W247,172000,1332 ,2018 ,1 km,Diesel,129129.12912912913
Volvo XC 60 II,254000,1969 ,2019 ,5 km,Benzyna,128999.49212798376
Audi Q3,193200,1498 ,2018 ,5 km,Benzyna,128971.96261682242
BMW Seria 5 G30,255900,1995 ,2018 ,9 277 km,Diesel,128270.67669172933
Audi A7 C8,379900,2967 ,2018 ,16 424 km,Diesel,128041.7930569599
Audi A6 C8,251900,1968 ,2018 ,5 km,Diesel,127997.9674796748
Audi Q3,253500,1984 ,2018 ,5 km,Benzyna,127772.17741935483
Audi Q7 II,378900,2967 ,2018 ,5 km,Diesel,127704.75227502527
Audi Q7 II,382990,3000 ,2018 ,1 km,Diesel,127663.33333333333
Audi A6 C8,250029,1968 ,2018 ,5 km,Diesel,127047.25609756098
Audi Q5 FY,253900,2000 ,2018 ,1 km,Diesel,126950
Maserati Quattroporte,379000,2987 ,2016 ,19 000 km,Diesel,126883.1603615668
Maserati Levante,379000,2987 ,2017 ,25 500 km,Diesel,126883.1603615668
Audi A6 C8,379900,3000 ,2018 ,2 980 km,Diesel,126633.33333333334
Audi Q3,189134,1498 ,2018 ,4 108 km,Benzyna,126257.67690253671
Audi A6 C7,249900,1984 ,2017 ,29 500 km,Diesel,125957.66129032258
Audi Q5 FY,247249,1968 ,2018 ,5 km,Diesel,125634.65447154472
Audi Q7 II,376673,3000 ,2018 ,1 km,Diesel,125557.66666666666
Audi A5 F5,248533,1984 ,2019 ,5 km,Benzyna,125268.64919354838
Audi Q5 FY,246500,1968 ,2018 ,5 km,Diesel,125254.0650406504
BMW X4 G02,249900,2000 ,2018 ,9 299 km,Benzyna,124950
Audi A7 C8,369900,2967 ,2018 ,10 282 km,Diesel,124671.38523761375
Volkswagen Touareg III,372900,3000 ,2018 ,1 km,Diesel,124300
Audi A6 C8,368500,2967 ,2018 ,5 km,Diesel,124199.5281429053
Audi A6 C8,367690,2967 ,2018 ,5 km,Diesel,123926.52510953826
Mercedes-Benz Klasa C W205,184900,1497 ,2018 ,1 km,Benzyna,123513.69405477622
Audi A6 C8,245900,2000 ,2018 ,5 km,Diesel,122950
Audi Q7 II,363900,2967 ,2018 ,5 km,Diesel,122649.14054600606
Audi A6 C8,240900,1968 ,2018 ,5 km,Diesel,122408.53658536586
Audi Q7 II,366343,3000 ,2018 ,10 km,Diesel,122114.33333333333
Audi Q5 FY,239900,1968 ,2018 ,5 km,Diesel,121900.40650406505
Audi A6 C8,364900,3000 ,2018 ,19 600 km,Benzyna,121633.33333333334
Audi A6 C8,238990,1968 ,2018 ,5 km,Diesel,121438.0081300813
Audi Q5 FY,238900,1968 ,2018 ,5 km,Diesel,121392.27642276423
BMW X5 F15,240500,1995 ,2018 ,13 100 km,Diesel,120551.3784461153
Mercedes-Benz Klasa E W213,234900,1950 ,2019 ,1 km,Diesel,120461.53846153847
Audi Q5 FY,236900,1968 ,2018 ,5 km,Diesel,120376.0162601626
BMW X6 F16,360000,2993 ,2018 ,15 000 km,Diesel,120280.65486134314
Audi A6 C8,236500,1968 ,2018 ,5 km,Diesel,120172.76422764227
BMW Seria 5 G30,239987,1998 ,2018 ,24 601 km,Benzyna,120113.6136136136
BMW Seria 5 G30,239900,1998 ,2018 ,24 550 km,Benzyna,120070.07007007007
Audi Q5 FY,240000,2000 ,2018 ,10 km,Diesel,120000
Audi A1,119900,1000 ,2019 ,10 km,Benzyna,119900
Mercedes-Benz Klasa S W222,359000,3000 ,2017 ,39 600 km,Diesel,119666.66666666667
Volvo XC 60 II,234900,1969 ,2018 ,6 500 km,Diesel,119299.13661757237
Mercedes-Benz GLC,255500,2143 ,2019 ,5 km,Diesel,119225.38497433504
